id,consumo
1,2.5
2,2.8
3,2.3
4,3.0
5,2.7
6,2.9
7,3.1
8,2.6
9,2.4
10,3.2
11,2.8
12,2.5
13,2.6
14,2.7
15,3.0
16,2.9
17,3.1
18,2.4
19,2.8
20,2.7
21,2.6
22,3.0
23,2.5
24,2.3
25,2.9
26,3.1
27,3.2
28,2.8
29,2.7
30,2.9
31,3.0
32,2.6
33,2.4
34,2.7
35,2.5
36,3.1
37,2.6
38,2.8
39,2.9
40,3.2
41,3.0
42,2.7
43,2.6
44,2.4
45,2.5
46,2.8
47,2.9
48,2.6
49,3.0
50,2.7
51,2.8
52,2.9
53,3.2
54,2.5
55,3.0
56,2.6
57,2.7
58,2.9
59,2.8
60,3.1
61,2.6
62,2.4
63,2.7
64,3.0
65,3.2
66,2.8
67,2.9
68,3.0
69,2.5
70,2.7
71,2.8
72,2.9
73,2.4
74,3.1
75,2.8
76,2.7
77,3.0
78,2.6
79,2.5
80,2.9
81,2.8
82,3.2
83,2.6
84,2.5
85,3.1
86,2.7
87,2.6
88,2.9
89,3.0
90,2.8
91,2.5
92,3.1
93,2.9
94,3.2
95,2.7
96,2.8
97,2.6
98,2.5
99,2.4
100,2.9
,2.7
,2.6
,3.0
,3.1
,2.8
,2.9
,3.2
,2.6
,2.7
,2.8
