id,consumo
1,6.3
2,7.1
3,6.9
4,7.5
5,6.8
6,7.0
7,6.6
8,6.9
9,7.2
10,7.4
11,7.0
12,6.8
13,7.5
14,7.2
15,6.9
16,7.1
17,7.3
18,6.6
19,7.2
20,7.0
21,7.1
22,6.8
23,6.7
24,7.5
25,7.3
26,6.9
27,7.0
28,6.8
29,7.1
30,6.6
31,7.2
32,6.9
33,6.7
34,7.4
35,7.0
36,7.3
37,7.2
38,6.8
39,7.1
40,6.6
41,7.4
42,7.2
43,6.9
44,7.0
45,7.5
46,7.3
47,7.2
48,6.8
49,7.1
50,6.9
51,7.0
52,7.3
53,7.1
54,7.2
55,6.9
56,7.0
57,7.4
58,6.8
59,7.3
60,7.1
61,6.9
62,7.0
63,6.7
64,7.2
65,7.4
66,7.1
67,7.0
68,7.3
69,6.9
70,7.2
71,7.0
72,6.8
73,7.1
74,6.9
75,7.2
76,7.4
77,7.1
78,7.3
79,7.0
80,6.8
81,7.5
82,7.2
83,7.1
84,6.9
85,7.3
86,7.0
87,6.8
88,7.1
89,6.7
90,7.2
91,7.3
92,7.0
93,7.1
94,7.4
95,7.2
96,6.8
97,7.0
98,7.3
99,6.9
100,7.1
,6.8
,7.4
,7.2
,7.3
,7.0
,6.9
,7.1
